Nbest,Time,Correct
-1,851,1
1,17,0
2,15,0
3,20,1
4,17,1
5,21,1
6,23,1
7,25,1
8,27,1
9,29,1
-1,839,1
1,17,0
2,15,1
3,21,1
4,20,1
5,22,1
6,24,1
7,26,1
8,28,1
9,30,1
-1,857,1
1,16,1
2,15,1
3,20,1
4,18,1
5,22,1
6,22,1
7,23,1
8,26,1
9,28,1
-1,862,1
1,17,1
2,14,1
3,21,1
4,18,1
5,22,1
6,23,1
7,24,1
8,26,1
9,29,1
-1,850,1
1,17,1
2,14,1
3,19,1
4,18,1
5,22,1
6,22,1
7,25,1
8,26,1
9,28,1
-1,875,1
1,17,0
2,14,1
3,22,1
4,17,1
5,22,1
6,22,1
7,24,1
8,26,1
9,28,1
-1,914,1
1,18,0
2,14,0
3,20,1
4,17,1
5,21,1
6,23,1
7,24,1
8,26,1
9,29,1
-1,861,1
1,16,1
2,13,1
3,20,1
4,18,1
5,20,1
6,22,1
7,22,1
8,25,1
9,27,1
-1,864,1
1,17,0
2,14,0
3,21,0
4,18,1
5,22,1
6,21,1
7,23,1
8,27,1
9,29,1
-1,842,1
1,18,0
2,13,0
3,20,1
4,17,1
5,21,1
6,22,1
7,24,1
8,26,1
9,27,1
-1,865,1
1,17,0
2,13,1
3,20,1
4,17,1
5,21,1
6,24,1
7,26,1
8,27,1
9,30,1
-1,868,1
1,15,1
2,13,1
3,20,1
4,18,1
5,22,1
6,21,1
7,23,1
8,26,1
9,27,1
-1,873,1
1,17,0
2,13,0
3,20,0
4,18,1
5,21,1
6,22,1
7,24,1
8,26,1
9,28,1
-1,859,1
1,16,0
2,13,0
3,21,0
4,19,0
5,22,1
6,24,1
7,27,1
8,28,1
9,30,1
-1,846,1
1,15,0
2,13,1
3,21,1
4,17,1
5,21,1
6,22,1
7,23,1
8,26,1
9,28,1
-1,851,1
1,16,0
2,13,0
3,20,0
4,17,0
5,21,0
6,20,0
7,22,0
8,25,0
9,26,0
-1,859,1
1,16,0
2,13,0
3,20,1
4,18,1
5,20,1
6,21,1
7,24,1
8,27,1
9,27,1
-1,856,1
1,17,0
2,13,0
3,20,1
4,18,1
5,21,1
6,23,1
7,24,1
8,27,1
9,29,1
-1,860,1
1,16,0
2,14,0
3,23,0
4,18,0
5,22,1
6,24,1
7,25,1
8,27,1
9,29,1
-1,860,1
1,18,0
2,13,0
3,19,0
4,18,0
5,21,0
6,22,1
7,24,1
8,27,1
9,28,1
-1,851,1
1,16,0
2,15,1
3,20,1
4,18,1
5,21,1
6,23,1
7,26,1
8,27,1
9,29,1
-1,875,1
1,16,1
2,13,1
3,21,1
4,18,1
5,20,1
6,22,1
7,24,1
8,26,1
9,28,1
-1,834,1
1,15,0
2,14,0
3,20,1
4,18,1
5,22,1
6,21,1
7,24,1
8,26,1
9,28,1
-1,842,1
1,20,0
2,13,0
3,19,0
4,17,1
5,21,1
6,22,1
7,23,1
8,26,1
9,28,1
-1,848,1
1,17,0
2,14,0
3,21,0
4,19,1
5,21,1
6,22,1
7,24,1
8,27,1
9,29,1
-1,848,1
1,16,1
2,14,1
3,20,1
4,18,1
5,21,1
6,23,1
7,26,1
8,28,1
9,30,1
-1,846,1
1,15,1
2,13,1
3,20,1
4,18,1
5,24,1
6,23,1
7,23,1
8,25,1
9,28,1
-1,864,1
1,17,1
2,14,1
3,20,1
4,18,1
5,21,1
6,23,1
7,25,1
8,27,1
9,28,1
-1,856,1
1,18,1
2,14,1
3,21,1
4,19,1
5,22,1
6,23,1
7,25,1
8,27,1
9,30,1
-1,1,1
1,18,1
2,16,1
3,23,1
4,20,1
5,22,1
6,24,1
7,26,1
8,30,1
9,32,1
-1,872,1
1,18,1
2,15,1
3,23,1
4,19,1
5,21,1
6,23,1
7,25,1
8,28,1
9,30,1
-1,873,1
1,15,0
2,14,0
3,21,0
4,17,0
5,21,0
6,21,0
7,24,0
8,26,0
9,29,1
-1,873,1
1,15,0
2,14,1
3,22,1
4,17,1
5,21,1
6,17,1
7,16,1
8,16,1
9,16,1
-1,846,1
1,16,1
2,14,1
3,20,1
4,18,1
5,21,1
6,23,1
7,25,1
8,27,1
9,29,1
-1,836,1
1,17,0
2,15,0
3,20,0
4,17,0
5,22,0
6,22,0
7,24,1
8,26,1
9,28,1
-1,868,1
1,18,0
2,13,0
3,20,1
4,18,1
5,20,1
6,21,1
7,24,1
8,26,1
9,28,1
-1,856,1
1,16,0
2,13,0
3,20,0
4,18,1
5,21,1
6,22,1
7,23,1
8,26,1
9,28,1
-1,866,1
1,17,1
2,14,1
3,21,1
4,18,1
5,21,1
6,24,1
7,24,1
8,26,1
9,28,1
-1,870,1
1,16,0
2,13,1
3,21,1
4,18,1
5,22,1
6,22,1
7,26,1
8,29,1
9,30,1
-1,869,1
1,17,0
2,15,0
3,22,1
4,18,1
5,23,1
6,23,1
7,24,1
8,27,1
9,29,1
-1,846,1
1,14,0
2,13,0
3,19,0
4,17,0
5,21,0
6,21,0
7,24,0
8,26,0
9,29,0
-1,868,1
1,17,1
2,14,1
3,21,1
4,18,1
5,22,1
6,23,1
7,25,1
8,27,1
9,30,1
-1,849,1
1,16,0
2,14,1
3,21,1
4,18,1
5,21,1
6,21,1
7,25,1
8,26,1
9,29,1
-1,862,1
1,16,1
2,14,1
3,21,1
4,19,1
5,22,1
6,23,1
7,26,1
8,28,1
9,30,1
-1,847,1
1,18,1
2,14,1
3,21,1
4,18,1
5,23,1
6,22,1
7,24,1
8,27,1
9,30,1
-1,866,1
1,17,0
2,15,1
3,22,1
4,18,1
5,21,1
6,22,1
7,25,1
8,27,1
9,33,1
-1,862,1
1,17,0
2,14,0
3,20,1
4,18,1
5,21,1
6,22,1
7,23,1
8,25,1
9,28,1
-1,864,1
1,18,0
2,14,0
3,21,1
4,18,1
5,22,1
6,23,1
7,23,1
8,26,1
9,28,1
-1,833,1
1,17,1
2,13,1
3,20,1
4,17,1
5,21,1
6,21,1
7,24,1
8,25,1
9,27,1
-1,857,1
1,18,0
2,14,0
3,21,0
4,17,0
5,21,0
6,23,0
7,24,1
8,27,1
9,28,1
-1,846,1
1,18,0
2,15,0
3,23,0
4,19,0
5,23,1
6,23,1
7,26,1
8,28,1
9,29,1
-1,850,1
1,17,0
2,14,1
3,21,1
4,18,1
5,22,1
6,22,1
7,25,1
8,28,1
9,29,1
-1,839,1
1,16,1
2,13,1
3,20,1
4,18,1
5,23,1
6,22,1
7,24,1
8,28,1
9,29,1
-1,832,1
1,16,0
2,13,1
3,21,1
4,20,1
5,22,1
6,23,1
7,26,1
8,29,1
9,30,1
-1,840,1
1,18,1
2,14,1
3,20,1
4,19,1
5,21,1
6,23,1
7,25,1
8,27,1
9,29,1
-1,879,1
1,17,1
2,15,1
3,22,1
4,19,1
5,22,1
6,24,1
7,24,1
8,28,1
9,29,1
-1,843,1
1,16,1
2,14,1
3,20,1
4,19,1
5,21,1
6,22,1
7,24,1
8,27,1
9,29,1
-1,857,1
1,17,1
2,13,1
3,22,1
4,18,1
5,22,1
6,22,1
7,25,1
8,27,1
9,28,1
-1,854,1
1,15,1
2,13,1
3,22,1
4,18,1
5,22,1
6,22,1
7,25,1
8,27,1
9,28,1
-1,860,1
1,17,0
2,13,0
3,19,0
4,17,1
5,21,1
6,22,1
7,23,1
8,26,1
9,29,1
-1,856,1
1,16,1
2,13,1
3,22,1
4,17,1
5,20,1
6,23,1
7,24,1
8,26,1
9,28,1
-1,851,1
1,17,1
2,14,1
3,24,1
4,19,1
5,21,1
6,23,1
7,24,1
8,25,1
9,29,1
-1,868,1
1,18,0
2,14,0
3,20,0
4,19,0
5,22,0
6,23,0
7,24,0
8,27,0
9,29,0
-1,845,1
1,17,0
2,14,0
3,20,0
4,18,0
5,22,0
6,22,0
7,25,0
8,26,0
9,29,0
-1,877,1
1,18,1
2,14,1
3,26,1
4,19,1
5,23,1
6,22,1
7,24,1
8,27,1
9,29,1
-1,845,1
1,20,1
2,13,1
3,20,1
4,17,1
5,23,1
6,22,1
7,26,1
8,27,1
9,29,1
-1,862,1
1,17,0
2,13,0
3,20,0
4,19,1
5,26,1
6,23,1
7,25,1
8,26,1
9,29,1
-1,885,1
1,17,0
2,13,1
3,18,1
4,16,1
5,21,1
6,21,1
7,23,1
8,25,1
9,29,1
-1,859,1
1,17,0
2,14,1
3,21,1
4,19,1
5,24,1
6,24,1
7,25,1
8,29,1
9,30,1
-1,871,1
1,20,1
2,14,1
3,22,1
4,19,1
5,22,1
6,23,1
7,25,1
8,26,1
9,29,1
-1,843,1
1,16,0
2,13,0
3,21,1
4,18,1
5,21,1
6,22,1
7,25,1
8,27,1
9,29,1
-1,846,1
1,15,0
2,15,0
3,19,0
4,17,0
5,21,0
6,22,0
7,24,1
8,27,1
9,29,1
-1,842,1
1,16,1
2,13,1
3,21,1
4,18,1
5,23,1
6,23,1
7,26,1
8,27,1
9,33,1
-1,872,1
1,15,0
2,13,1
3,20,1
4,18,1
5,22,1
6,23,1
7,24,1
8,26,1
9,29,1
-1,864,1
1,17,1
2,15,1
3,21,1
4,18,1
5,21,1
6,23,1
7,24,1
8,28,1
9,30,1
-1,884,1
1,18,1
2,14,1
3,21,1
4,18,1
5,23,1
6,24,1
7,25,1
8,28,1
9,29,1
-1,850,1
1,18,0
2,14,0
3,21,0
4,18,0
5,23,1
6,24,1
7,26,1
8,27,1
9,30,1
-1,845,1
1,16,1
2,14,1
3,21,1
4,18,1
5,21,1
6,23,1
7,25,1
8,27,1
9,28,1
-1,1,1
1,16,1
2,15,1
3,21,1
4,17,1
5,22,1
6,23,1
7,24,1
8,27,1
9,29,1
-1,933,1
1,19,1
2,15,1
3,22,1
4,19,1
5,23,1
6,24,1
7,27,1
8,27,1
9,30,1
-1,883,1
1,17,1
2,14,1
3,21,1
4,17,1
5,22,1
6,22,1
7,25,1
8,26,1
9,29,1
-1,872,1
1,18,1
2,14,1
3,20,1
4,18,1
5,22,1
6,23,1
7,25,1
8,27,1
9,30,1
-1,864,1
1,16,1
2,14,1
3,20,1
4,17,1
5,22,1
6,22,1
7,25,1
8,27,1
9,29,1
-1,884,1
1,19,1
2,14,1
3,21,1
4,18,1
5,22,1
6,23,1
7,26,1
8,27,1
9,28,1
-1,857,1
1,17,0
2,13,0
3,20,1
4,17,1
5,21,1
6,22,1
7,23,1
8,26,1
9,28,1
-1,908,1
1,16,1
2,15,1
3,20,1
4,18,1
5,21,1
6,28,1
7,24,1
8,27,1
9,29,1
-1,882,1
1,16,0
2,14,0
3,21,0
4,18,0
5,21,1
6,21,1
7,24,1
8,26,1
9,28,1
-1,874,1
1,17,1
2,14,1
3,19,1
4,17,1
5,25,1
6,22,1
7,24,1
8,26,1
9,28,1
-1,855,1
1,17,0
2,16,1
3,21,1
4,18,1
5,22,1
6,22,1
7,24,1
8,28,1
9,29,1
-1,838,1
1,16,0
2,13,0
3,20,0
4,18,0
5,21,0
6,20,0
7,18,0
8,18,0
9,18,0
-1,851,1
1,18,1
2,14,1
3,20,1
4,18,1
5,22,1
6,22,1
7,26,1
8,28,1
9,30,1
-1,855,1
1,17,0
2,14,1
3,20,1
4,18,1
5,22,1
6,21,1
7,24,1
8,26,1
9,28,1
-1,865,1
1,15,0
2,13,0
3,20,1
4,19,1
5,20,1
6,21,1
7,24,1
8,25,1
9,27,1
-1,829,1
1,18,0
2,13,0
3,20,0
4,18,1
5,21,1
6,23,1
7,25,1
8,27,1
9,29,1
-1,863,1
1,16,0
2,14,0
3,19,0
4,17,0
5,27,0
6,21,0
7,24,0
8,44,0
9,30,0
-1,867,1
1,17,0
2,14,1
3,21,1
4,19,1
5,22,1
6,22,1
7,24,1
8,27,1
9,29,1
-1,879,1
1,15,0
2,14,1
3,21,1
4,17,1
5,21,1
6,23,1
7,24,1
8,26,1
9,28,1
-1,893,1
1,17,1
2,13,1
3,20,1
4,17,1
5,21,1
6,22,1
7,23,1
8,25,1
9,29,1
-1,855,1
1,18,1
2,14,1
3,21,1
4,18,1
5,22,1
6,23,1
7,25,1
8,27,1
9,31,1
-1,847,1
1,18,1
2,15,1
3,20,1
4,18,1
5,22,1
6,23,1
7,24,1
8,27,1
9,29,1
-1,870,1
1,17,0
2,14,0
3,20,0
4,18,0
5,21,0
6,22,0
7,23,0
8,26,0
9,27,0
-1,862,1
1,18,1
2,15,1
3,21,1
4,19,1
5,22,1
6,24,1
7,26,1
8,28,1
9,30,1
-1,851,1
1,17,1
2,14,1
3,19,1
4,17,1
5,22,1
6,22,1
7,25,1
8,27,1
9,29,1
